id,X4,X11,X18,X26,X50,X3112
154220505,1.1095704,146.35832,19709.148,3502.4688,15.092605,400217.44
195736552,0.97503024,153.17357,19699.436,3459.0696,14.956021,398332.44
182701773,0.9385536,147.27975,19698.867,3454.048,14.972537,398038.56
27688500,0.99777824,139.89513,19699.922,3495.5688,16.054361,397951.1
195825045,0.9148124,152.68565,19699.191,3467.015,14.981415,398954.7
90218281,1.2930895,139.93126,19703.42,3468.7886,16.922216,397793.44
184784126,1.2014489,144.07219,19700.143,3467.4026,15.350902,397694.5
196505896,0.9742033,145.52754,19701.05,3496.3586,15.114761,399014.84
190205411,0.97506905,147.89243,19699.873,3462.986,14.986468,397686.12
193155678,0.99374956,151.26088,19698.887,3458.5396,14.820141,397881.62
196236454,1.1192116,148.16869,19708.688,3481.238,15.122556,398720.22
88250214,0.99440354,143.74458,19711.953,3508.681,14.991341,398320.28
191944528,1.0537945,145.35524,19699.74,3460.5793,15.11528,397971.66
195493725,0.901149,150.21346,19699.496,3466.719,15.155312,398440.7
70134978,1.1324315,146.52905,19699.803,3486.4836,15.616174,397714.25
133890184,1.1328039,142.05171,19702.072,3492.6162,16.10684,398724.1
68444641,1.0262036,152.01057,19700.068,3471.799,15.033687,398250.72
192180569,1.1350971,140.93408,19702.994,3469.3538,15.717876,397715.88
196586748,0.9208439,151.3178,19699.621,3460.5273,14.748939,398278.7
195485068,1.1395376,151.07462,19705.014,3459.4414,14.870429,403562.16
195545760,0.9321551,148.0821,19700.5,3467.7415,14.824615,400214.56
189067868,0.91840553,149.08922,19701.955,3474.2986,15.147225,401429.4
131023803,0.98841065,147.49388,19701.605,3466.166,15.19002,398968.94
194368572,1.1266001,148.27191,19699.746,3469.615,15.472567,398579.06
189725896,0.9649492,145.64478,19699.361,3459.723,15.223001,397850.44
173252815,0.89901805,150.86162,19700.664,3464.6375,14.821755,399921.9
195533521,1.065891,150.26595,19700.518,3461.5137,14.680798,399869.47
195745232,0.96887094,154.10715,19699.588,3464.1455,15.139144,399884.25
167228481,1.0206779,148.75589,19702.523,3490.037,14.981819,398953.38
95065732,1.0340816,138.92053,19713.678,3478.7766,16.146091,397700.56
195765481,0.9281944,153.58264,19699.697,3463.7097,14.8661375,398403.06
196106550,1.0394741,149.29234,19699.715,3460.1057,15.077557,398180.9
164667216,1.0831034,143.59607,19700.719,3476.7554,15.541605,398272.78
196427019,1.0787468,142.49629,19701.873,3483.4001,15.861308,397958.56
106805402,1.1426634,147.22269,19705.709,3510.7515,15.069024,402860.34
195791417,1.0106723,147.62758,19699.139,3461.2102,15.040756,398224.78
139349381,1.0579125,148.17728,19699.719,3464.9817,15.143935,398010.1
193429351,1.1008954,150.6763,19704.87,3523.1824,15.05812,401098.16
194639882,0.98936325,152.56477,19699.186,3461.0632,15.085834,398152.53
153077808,0.89920354,150.78592,19699.465,3460.147,15.280057,398406.12
175180283,0.9545102,148.45108,19699.852,3461.7798,15.223619,398268.6
129383924,0.9461312,149.83995,19699.896,3468.2437,14.694396,400387.34
194749428,0.9701864,152.40875,19699.252,3460.158,14.769094,397992.6
194821149,0.9542108,151.43622,19699.135,3463.1157,14.919941,398060.72
195656804,1.0809427,142.88153,19701.488,3479.654,14.927259,397940.9
187922795,1.1530919,146.45126,19703.604,3552.481,15.394469,399448.62
107367396,1.0774364,150.4712,19700.596,3478.1753,14.886606,399504.28
194295516,1.0526978,152.00505,19699.941,3483.1565,14.834118,401525.0
194215752,0.9642267,155.0733,19699.777,3469.3606,14.718249,398977.28
195654943,1.0086178,150.052,19699.217,3465.7373,15.038482,398355.66
195782073,0.9460188,152.83272,19699.432,3466.8823,14.8328905,398282.62
194674247,1.0636636,154.85048,19699.455,3478.224,14.591607,399032.9
191473574,0.9173623,147.41814,19699.465,3460.2312,15.001523,398258.56
192538170,1.084245,148.94081,19702.502,3525.7498,14.919101,398982.75
195641284,1.1172065,146.7108,19707.766,3506.1272,14.923368,399064.6
